step,spectral_clarity,harmonicity,pitch_stability,energy_smoothness,zcr_quality,spectral_flatness,temporal_consistency,overall_quality,spectral_clarity_ma,harmonicity_ma,pitch_stability_ma,energy_smoothness_ma,zcr_quality_ma,spectral_flatness_ma,temporal_consistency_ma,overall_quality_ma,overall_quality_smooth
10000,0,56.17709159851074,1.205456256866455,76.00564919412136,66.24730742026749,99.78267338592559,0.0,39.42008221796963,0.0,49.60127770900726,0.40181875228881836,76.66775124768417,71.4459309138583,99.68945193104446,1.847857157389323,38.77901504202661,38.77901504202661
20000,0,50.54938197135925,0.0,80.6105624884367,72.2016898308011,99.67409984674305,0.0,39.389039735291774,0.0,51.63234546780586,0.30136406421661377,77.68177464604378,73.01762100328166,99.70576111227274,1.3858928680419922,39.43486739845987,39.43486739845987
30000,0,42.077359557151794,0.0,73.38704206049442,75.88879549050633,99.61158256046474,5.543571472167969,37.527923172818426,0.0,45.95625013113022,0.24109125137329102,81.224100664258,73.54911044349834,99.67319928109646,1.1087142944335937,38.84413121547358,38.84413121547358
40000,0,57.72554874420166,0.0,80.72384484112263,77.73269127155172,99.75468865595758,0.0,41.40242446775966,0.0,43.62694412469864,0.0,82.91207551956177,72.73738061844281,99.63657882530242,1.1087142944335937,38.510467526691876,38.510467526691876
50000,0,23.251868784427643,0.0,95.3934047371149,75.67506820436508,99.54295195639133,0.0,36.481186483528404,0.0,45.10727792978287,0.0,84.16560292243958,72.95084011258389,99.6498275641352,1.1087142944335937,39.017234221437775,39.017234221437775
60000,0,44.530561566352844,0.0,84.44552347064018,62.18865829498978,99.59957110695541,0.0,37.75176377406112,0.0,42.715146243572235,1.094808578491211,87.40003742277622,73.01154098180288,99.52122056856751,0.0,39.070532303941604,39.070532303941604
70000,0,57.951050996780396,0.0,86.87819950282574,73.26898730150651,99.7403435409069,0.0,41.92287320902128,0.0,35.7000133395195,1.094808578491211,88.55586610734463,70.3935413304337,99.26663625054061,0.0,37.55362162887671,37.55362162887671
80000,0,30.116701126098633,5.474042892456055,89.55921456217766,76.19229983660131,98.96854758262634,0.0,37.79441358533755,0.0,41.00205361843109,1.094808578491211,87.47317399829626,71.54887966469275,99.32272057048976,0.0,38.57276813372259,38.57276813372259
90000,0,22.64988422393799,0.0,86.50298826396465,64.64269301470588,98.48176706582308,0.0,33.81787109243519,0.0,36.97891592979431,1.094808578491211,85.02650503069162,67.84411713311025,99.32522605638951,0.0,37.03091454628626,37.03091454628626
100000,0,49.762070178985596,0.0,89.97994419187307,81.45175987566022,99.82337355613708,0.0,41.57691900775781,0.0,45.20734190940857,10.24734616279602,86.42405038699508,65.1529598971679,99.37649242529005,0.0,39.995123096596174,39.995123096596174
110000,0,24.414873123168945,0.0,72.212178632617,43.6648456370773,99.61209853645414,0.0,30.042495836879482,0.0,47.02170372009277,9.15253758430481,86.27220513299108,58.071993735793946,99.42343324371905,0.0,39.467594849564236,39.467594849564236
120000,0,99.09318089485168,45.76268792152405,93.865926284343,59.81320112179487,99.99667538540962,0.0,56.743915960570845,0.0,49.332979917526245,9.15253758430481,85.57349974289536,55.93264919049525,99.55152535760135,0.0,39.623919037394934,39.623919037394934
130000,0,39.18851017951965,0.0,88.79998829215765,40.787469029731454,99.20325167477131,0.0,35.15677235017785,0.0,46.46597146987915,9.15253758430481,84.80195021256804,50.7818144728259,99.50449313917488,0.0,38.41499822470684,38.41499822470684
