step,mcd,snr,spectral_convergence,pitch_correlation
10000,137.61943,32.096521854400635,2.239945,0.4095807601427248
20000,97.37427,35.54184675216675,1.2274504,0.9216774736148043
30000,134.52895,31.822409629821777,1.3097504,0.45703700652719803
40000,143.30344,32.88804531097412,1.3830323,0.11711978437169353
50000,166.19473,26.20704174041748,1.1001523,0.30926344547106754
60000,159.05399,21.55806064605713,2.4243155,0.08107344104491165
70000,124.587616,19.74272608757019,1.3513964,0.38284420808292435
80000,118.30905,21.685903072357178,1.2364342,0.7508655017865968
90000,168.60344,49.800662994384766,1.4695219,0.0
100000,147.68561,19.899954795837402,1.3554068,0.011713699604448338
110000,177.95639,26.507375240325928,2.386629,0.002811931678545359
120000,143.05171,13.16832184791565,5.3411117,0.0
130000,156.92764,27.188026905059814,1.5192227,0.0
140000,165.21902,37.441160678863525,1.4879259,0.07887201237335348
150000,192.30939,19.42634105682373,3.1969137,0.0
160000,165.98738,30.96116065979004,1.159531,0.33451865019563876
170000,144.49727,29.776487350463867,1.8083214,0.0
180000,83.38476,34.30447578430176,0.9842445,0.5
190000,142.50768,29.55080509185791,1.0984633,0.024797596177536796
200000,161.52809,32.99849271774292,1.3607433,0.2648715445145716
210000,169.8947,36.56449794769287,1.6768496,0.27406679711703763
220000,158.41815,55.88919162750244,1.2874767,0.33822315142638476
230000,157.72293,31.957886219024658,1.8348172,0.5
240000,137.99556,20.095815658569336,1.7043221,0.012611644179350944
250000,170.97383,34.0070104598999,1.4456474,0.5
260000,148.62032,29.666507244110107,1.4334615,0.11677538761072112
270000,149.36511,35.20982265472412,2.1183572,0.09491255920446649
280000,160.20552,31.54759407043457,1.3845477,0.16762092339544865
290000,156.969,31.210808753967285,1.3222145,0.5
300000,88.07168,28.06443214416504,2.2317793,0.34866741560283293
310000,159.50014,25.885777473449707,1.0983924,0.3279687206834897
320000,121.16126,30.196874141693115,1.0436292,0.9264338580330147
330000,176.7209,45.31094551086426,2.0559359,0.0
340000,144.2997,27.949471473693848,1.5307136,0.0860679969778966
350000,180.58704,41.38540744781494,1.4018714,0.260944130849897
360000,139.0821,35.50171375274658,1.3164499,0.7559872220334967
370000,149.91197,25.355427265167236,2.171548,0.23772490715974268
380000,125.80401,47.29390621185303,1.1288866,0.6686789903856097
390000,134.71753,32.854788303375244,1.0742513,0.7151017605733265
400000,166.5728,35.208022594451904,1.3954128,0.08841937745090118
410000,187.95914,18.855504989624023,1.1766558,0.2559855413200049
420000,183.35802,30.1959228515625,1.3245848,0.007560860613309343
430000,151.93672,22.505452632904053,1.6739193,0.24986430612242896
440000,137.18398,37.14749813079834,1.2718632,0.5623686922494628
450000,158.34889,30.182125568389893,2.3380868,0.09356340958405975
460000,156.66917,39.51933145523071,1.4144311,0.624083678239984
470000,145.07355,18.966763019561768,1.3519987,0.2328490607601786
480000,164.71722,46.99204921722412,1.4328581,0.5021541473697635
490000,108.17119,38.66835355758667,1.2655388,0.6853783913997401
500000,159.39906,23.55452299118042,1.6572281,0.23287828527708784
510000,130.22697,35.77137231826782,1.3163402,0.376206668097676
520000,183.13237,35.26712656021118,1.2611172,0.26918196424470353
530000,108.391594,26.67308807373047,1.2002784,0.8125932652754508
540000,185.84323,29.79994773864746,1.3116497,0.212825759659129
550000,110.675476,28.173353672027588,1.0194011,0.29187730204183765
560000,150.66869,23.736939430236816,1.4847744,0.07926542747464237
570000,153.20879,24.69322443008423,1.6275822,0.5
580000,161.07835,30.71687936782837,1.9145519,0.10912813795859827
590000,165.01073,25.178308486938477,2.542799,0.21094150885632834
600000,134.50505,22.73167133331299,1.308402,0.575861567388457
610000,169.97217,27.300732135772705,1.1398908,0.03689392724427369
620000,94.5234,50.96315383911133,0.93405235,0.7088803298803875
630000,153.54909,31.451337337493896,1.8679957,0.5
640000,118.92675,19.72581148147583,1.5733237,0.17977014770227162
650000,96.63387,31.532611846923828,1.3884118,0.6448139662426506
660000,153.37224,28.5357928276062,1.4631877,0.0
670000,185.8919,40.28345584869385,1.3384985,0.2804332208648053
680000,191.56393,33.360207080841064,1.6472254,0.08038248540549346
690000,172.19795,23.288793563842773,1.3573335,0.0
700000,148.99863,22.080767154693604,1.6805304,0.4517960264392444
710000,146.72043,25.868582725524902,1.3639995,0.20300628258743914
720000,165.1352,26.37213945388794,1.4573836,0.0
730000,187.47649,40.056257247924805,1.3164189,0.5
740000,148.34961,43.15671443939209,1.294191,0.451129686414388
750000,247.58662,40.1218318939209,1.0208929,0.5
760000,135.13383,18.5123872756958,1.3321537,0.41930356706384786
770000,156.8444,19.503540992736816,1.3916754,0.35984693670611595
780000,138.34805,19.307817220687866,1.1692477,0.05653801839362923
790000,187.74446,35.05084276199341,1.0131809,0.01951844893089947
800000,168.03409,43.51248741149902,1.8107413,0.0
